i,order,RA,DA,RB,DB,mag,RA/RB,indifference k
1,13,5,0,8,24,1,0.625,0.0250
2,20,4,0,10,17,1,0.4,0.0882
3,26,5,0,13,12,1,0.385,0.1333
4,22,5,0,10,6,1,0.5,0.1667
5,3,4,0,8,5,1,0.5,0.2000
6,18,8,0,13,2,1,0.615,0.3125
7,5,5,0,8,1.5,1,0.625,0.4000
8,7,9,0,13,1,1,0.692,0.4444
9,11,7,0,10,0.5,1,0.7,0.8571
10,1,19,0,30,23,2,0.633,0.0252
11,6,11,0,25,15,2,0.44,0.0848
12,24,15,0,35,10,2,0.429,0.1333
13,16,15,0,35,8,2,0.429,0.1667
14,10,15,0,30,5,2,0.5,0.2000
15,21,14,0,25,2.5,2,0.56,0.3143
16,14,16,0,25,1.5,2,0.64,0.3750
17,8,24,0,35,1,2,0.686,0.4583
18,27,21,0,30,0.5,2,0.7,0.8571
19,9,28,0,45,24,3,0.622,0.0253
20,17,22,0,50,15,3,0.44,0.0848
21,12,17,0,40,10,3,0.425,0.1353
22,15,23,0,50,7,3,0.46,0.1677
23,2,20,0,40,5,3,0.5,0.2000
24,25,25,0,45,2.5,3,0.556,0.3200
25,23,25.5,0,40,1.5,3,0.638,0.3791
26,19,31,0,45,1,3,0.689,0.4516
27,4,35,0,50,0.5,3,0.7,0.8571